Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    111.40     0.00    31704     0.00     0.00  __gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > > std::__miter_base<__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > > >(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >)
  0.00    111.40     0.00    31704     0.00     0.00  cvision::Detection const* std::__niter_base<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >(__gnu_cxx::__normal_iterator<cvision::Detection const*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >)
  0.00    111.40     0.00    31704     0.00     0.00  cvision::Detection* std::__niter_base<cvision::Detection*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >(__gnu_cxx::__normal_iterator<cvision::Detection*, std::vector<cvision::Detection, std::allocator<cvision::Detection> > >)
  0.00    111.40     0.00    31368     0.00     0.00  cvision::Detection* std::__niter_base<cvision::Detection*>(cvision::Detection*)
  0.00    111.40     0.00    31110     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00    111.40     0.00    31110     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00    111.40     0.00    29005     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::size() const
  0.00    111.40     0.00    28943     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00    111.40     0.00    28645     0.00     0.00  bool __gnu_cxx::operator!=<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00    111.40     0.00    28172     0.00     0.00  std::vector<cv::Rect_<int>, std::allocator<cv::Rect_<int> > >::end()
